,Title,Keyword,Creator,Date,Description,Type_of_Photo,Lens_for_photo,Attribution,Object_ID,Person_who_picked_the_object,Size_of_Image,Location,File_name,Format,Contributer,Image
,Luna,Dog,Jamison Stone,2026-03-22,"Luna was adopted in November 2020. She is originally from Oklahoma with her being born July 2020. Luna has been quite the follower, always needing her brothers to do anything that requires confidence. She was chosen due to her impact she has on people in the family (especially her favorite mom) whether some of those impacts are positive or negative.",Digital,Wide-angle lens - 23mm ,Attributed to Jamison Stone,SVM.0001,Carmily Stone pick,3.94 mb,"Des Moines, IA",30360322_194201.jpg,Digital Photo,,
,Roger Stone Memorial Sign,Painted sign,Jamison Stone,2026-03-22,This was a sign painted after the death of Roger Stone referred to by family members as “Papa.” It shows his birth and death date with the three cars he worked on throughout his life. This was picked as he was an extremely influential person and gave Chad his love for cars.,Digital,Wide-angle lens - 23mm ,Attributed to Jamison Stone,SVM.0002,Chad Stone pick,2.48 mb,"Des Moines, IA",20260322_192812.jpg,Digital Photo,Forest Harrington,
,Iowa Gold Star Military Museum Challenge Coin,Challenge coin,Jamison Stone,2026-03-22,"This challenge coin was given at the end of Jamison’s first internship. This museum was extremely influential in Jamison’s career and teaching the basics and advanced lessons in a real environment. During school breaks, Jamison still goes back to volunteer and helps assist with tasks around the museum.",Digital,Wide-angle lens - 23mm ,Attributed to Jamison Stone,SVM.0003,Jamison Stone pick,2.03 mb,"Iowa City, IA",20260404_163934.jpg,Digital Photo,Iowa Gold Star Military Museum,
,Scout,Dog,Jamison Stone,2026-03-22,"Scout was adopted in 2013 and has been with the family ever since. He lost his right eye due to a tumor, but has since fully recovered and is able to see with only his left eye. He has left quite the impression on the family as he used to be extremely wild, but has calmed down immensely ever since Boon was adopted.",Digital,Wide-angle lens - 23mm ,Attributed to Jamison Stone,SVM.0004,Jamison Stone pick,4.10 mb,"Des Moines, IA",20260322_203539.jpg,Digital Photo,,
,Boon,Dog,Jamison Stone,2026-03-22,"Boon was adopted at a very young age in 2018. Originally brought in as a foster dog he melted everyone's hearts by being an extremely calm and smart dog. When the adoption papers were signed he let his true colors show as he showed himself to be a much more wilder, and extremely vocal dog. The family still loves him the same.",Digital,Wide-angle lens - 23mm ,Attributed to Jamison Stone,SVM.0005,Chad Stone pick,2.75 mb,"Des Moines, IA",20260322_193940.jpg,Digital Photo,,
,Blue Rose,Flower,Jamison Stone,2026-03-22,"This was a flower Jamison was given by his director for his final high school concert. As the flower was not put in a vase, Addison took ownership of the flower and dried it out to prevent it from being thrown away. The flower is dyed to have the school's colors, blue and white.",Digital,Wide-angle lens - 23mm ,Attributed to Jamison Stone,SVM.0006,Addison Stone pick,2.68 mb,"Des Moines, IA",20260322_193128.jpg,Digital Photo,Theodore Roosevelt High School,
,Rocket,Snail,Jamison Stone,2026-03-22,Rocket the snail was adopted in 2026 to help with part of cleaning Panther's tank. Rocket is very shy and typically only moves when not being looked at by anything. He serves a very important role in helping keep Panther's tank cleaner for the both of them.,Digital,Wide-angle lens - 23mm ,Attributed to Jamison Stone,SVM.0007,Addison Stone pick,2.34 mb,"Des Moines, IA",20260322_192839.jpg,Digital Photo,,
,Panther,Fish,Jamison Stone,2026-03-22,"Panther was Addison's first ever betta fish, and has been around since 2023. Addison discovered part of her love for marine biology through taking care of Panther, and has left him in Des Moines while she is at school. The fish still remains an integral part of the family with a regular schedule and checkups from various family members including the dogs.",Digital,Wide-angle lens - 23mm ,Attributed to Jamison Stone,SVM.0008,Addison Stone pick,1.90 mb,"Des Moines, IA",20260322_192833.jpg,Digital Photo,,
,Wedding Quilt,Quilt,Jamison Stone,2026-03-22,"This quilt was made by Reta Stone, known to the family as nana, for Carmily and Chad's wedding. It displays her skill in quilting as she enjoys creating various designs for the family members with quilts.",Digital,Wide-angle lens - 23mm ,Attributed to Jamison Stone,SVM.0009,Chad Stone pick,3.00 mb,"Des Moines, IA",20260322_192726.jpg,Digital Photo,Reta Stone,
,Megalodon Tooth,Megalodon tooth,Jamison Stone,2026-03-22,"A real megalodon tooth which was given as a gift to Chad Stone. This tooth symbolizes a constant debate between both Chad and Addison on whether Megalodon's still exist after seeing them in movies. Chad still believes they are out there somewhere, whereas Addison believes they have gone extinct",Digital,Wide-angle lens - 23mm ,Attributed to Jamison Stone,SVM.0010,Chad Stone pick,2.52 mb,"Des Moines, IA",20260322_192640.jpg,Digital Photo,,
,Music Quilt,Quilt,Chad Stone,2026-04-05,"This quilt was made by Reta Stone, known to the family as nana, for Jamison's high school graduation. Another quilt she put together for a special event in someone else's life, that is adorned with music notes for Jamison's love of music.",Digital,Wide-angle lens - 23mm ,Attributed to Chad Stone,SVM.0011,Jamison Stone pick,2.10 mb,"Des Moines, IA",IMG_20260405_164541.jpg,Digital Photo,Reta Stone,
,Notebook with Letters from Deployment,Notebook,Carmily Stone,2026-04-04,"This notebook contains letters written from Chad Stone to his wife Carmily Stone during his first deployment. All of these entries were kept in a journal that were then given after returning from deployment, with various writings about the day, week, etc. all eventually to be handed back to a family member.",Digital,Wide-angle lens - 23mm ,Attributed to Carmily Stone,SVM.0012,Carmily Stone pick,3.17 mb,"Des Moines, IA",20260404_211401.jpg,Digital Photo,Chad Stone,
,Raggedy Ann Music Box,Music Box,Carmily Stone,2026-03-22,"This music box depicts the fictional Raggedy Ann. Given to Carmily Stone by her great grandparents in 1977, she has held onto it ever since. On the bottom reads a message for Carmily with the birthdates of her great grandma, Eva, 1919, and her great grandpa, Guido, 1921.",Digital,Wide-angle lens - 23mm ,Attributed to Carmily Stone,SVM.0013,Carmily Stone pick,0.35 mb,"Des Moines, IA",Screenshot_20260405_184854_Gallery.jpg,Digital Photo,,
,Snickers,Cat,Jamison Stone,2017-03-20,"Snickers was adopted after her previous owner died and her family was unable to take care of her. Through a family friend, they introduced the family to her and she was adopted the same day where she stayed with the family until her passing in 2019.",Digital,Unknown,Attributed to Jamison Stone,SVM.0014,Jamison Stone pick,1.27 mb,"Des Moines, IA",20170320_070238.jpg,Digital Photo,,
,Duke,Dog,Jamison Stone,2017-04-16,"Duke was adopted in 2012 and passed away in 2020. He was adopted when he was older due to the other dog in the house not liking younger dogs. He immediatly clicked with the other dog due to his gentle nature. He was a careful dog around both Jamison and Addison and refused to ever play with either of them for fear of hurting them, but still assisted with their, or sometimes his, various escapades. Pictured here in Easter 2017 sitting on the front steps to the house.",Digital,Unknown,Attributed to Jamison Stone,SVM.0015,Jamison Stone pick,1.25 mb,"Des Moines, IA",20170416_094744.jpg,Digital Photo,,
